"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H1,H2,H3";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole_Pad";;;
2;"R6,R5";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"27r";;;
3;"R9,R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"100k";;;
4;"C17,C21,C20";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"0.1uf";;;
5;"R16,R15,R14,R13";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"4.7k";;;
6;"C2";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"15p";;;
7;"C9,C10,C15";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"2u2";;;
8;"C19";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"10uf1";;;
9;"C18";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uf";;;
10;"R8,R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"10k";;;
11;"J1";"PinHeader_1x03_P1.27mm_Vertical";1;"Conn_01x03_Male";;;
12;"C16,C8,C11,C12,C7,C4,C5";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";7;"100n";;;
13;"IC1";"QFN40P700X700X90-57N-D";1;"RP2040";;;
14;"R3,R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"1k";;;
15;"D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
16;"AC1";"CC-14-1";1;"ADXL345BCCZ-RL7";;;
17;"U1";"RT6150B-33GQW";1;"RT6150B-33GQW";;;
18;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"4.7k";;;
19;"C1";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"15p ";;;
20;"C6,C3";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"2u2";;;
21;"R2,R12";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"DNP";;;
22;"L1";"L_0402_1005Metric";1;"2u2";;;
23;"D3";"SODFL3616X98N";1;"MBR120VLSFT1G";;;
24;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"12MHz";;;
25;"C13,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"47u";;;
26;"U2";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
27;"R7";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";1;"5k6";;;
28;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
29;"SW1";"Panasonic_EVQPUM_EVQPUD";1;"SW_Push";;;
30;"IC2";"SON50P300X200X60-9N";1;"W25Q16JVUXIQ";;;
31;"TP1,TP6,TP2,TP4,TP5,TP3";"TestPoint_Pad_D1.0mm";6;"TestPoint";;;
